t	p
1732.69	6.1771e-09
1734.7	6.1675e-09
1736.7	6.1895e-09
1738.7	6.1315e-09
1740.73	6.0888e-09
1742.75	6.09e-09
1744.75	6.0722e-09
1746.73	6.0939e-09
1748.75	6.0451e-09
1750.75	6.0572e-09
1752.75	6.0801e-09
1754.75	6.0591e-09
1756.75	6.0226e-09
1758.75	6.0402e-09
1760.75	5.9888e-09
1762.75	6.0405e-09
1764.75	6.033e-09
1766.75	6.0319e-09
1768.75	5.9878e-09
1770.75	5.9607e-09
1772.77	5.9444e-09
1774.78	5.9751e-09
1776.78	5.8792e-09
1778.77	5.945e-09
1780.78	5.8752e-09
1782.81	5.8229e-09
1784.83	5.8949e-09
1786.83	5.7862e-09
1788.81	5.8802e-09
1790.84	5.8875e-09
1792.86	5.8034e-09
1794.86	5.8255e-09
1796.89	5.7682e-09
1798.89	5.7688e-09
1800.91	5.781e-09
1802.91	5.732e-09
1804.94	5.7487e-09
1806.94	5.7141e-09
1808.94	5.7057e-09
1810.95	5.7223e-09
1812.97	5.7192e-09
1814.97	5.6712e-09
1816.98	5.7116e-09
1819	5.6686e-09
1821.02	5.6586e-09
1823.02	5.6674e-09
1825.03	5.6351e-09
1827.05	5.5701e-09
1829.05	5.6663e-09
1831.05	5.5663e-09
1833.05	5.6132e-09
1835.06	5.5986e-09
1837.09	5.5402e-09
1839.11	5.5391e-09
1841.11	5.5626e-09
1843.12	5.502e-09
1845.14	5.5273e-09
1847.16	5.4912e-09
1849.16	5.5583e-09
1851.16	5.5441e-09
1853.16	5.4082e-09
1855.16	5.4845e-09
1857.16	5.378e-09
1859.16	5.4697e-09
1861.16	5.4355e-09
1863.16	5.4538e-09
1865.16	5.4262e-09
1867.16	5.3837e-09
1869.16	5.4405e-09
1871.17	5.4509e-09
1873.19	5.4177e-09
1875.2	5.3983e-09
1877.23	5.3832e-09
1879.23	5.3586e-09
1881.23	5.3725e-09
1883.23	5.3553e-09
1885.23	5.3346e-09
1887.25	5.2809e-09
1889.27	5.3144e-09
1891.27	5.2467e-09
1893.27	5.2538e-09
1895.3	5.2602e-09
1897.28	5.2891e-09
1899.31	5.2451e-09
1901.33	5.2266e-09
1903.33	5.2322e-09
1905.36	5.24e-09
1907.38	5.186e-09
1909.34	5.1955e-09
1911.38	5.1621e-09
1913.38	5.2135e-09
1915.34	5.2114e-09
1917.38	5.1763e-09
1919.41	5.1695e-09
1921.41	5.1676e-09
1923.41	5.1187e-09
1925.41	5.15e-09
1927.44	5.1856e-09
1929.44	5.1546e-09
1931.45	5.102e-09
1933.45	5.0849e-09
1935.45	5.0982e-09
1937.44	5.1052e-09
1939.45	5.0796e-09
1941.45	5.0843e-09
1943.45	5.0515e-09
1945.45	5.0297e-09
1947.44	5.0496e-09
1949.45	5.0577e-09
1951.48	4.9858e-09
1953.48	4.9844e-09
1955.48	5.0254e-09
1957.48	5.0345e-09
1959.52	4.9728e-09
1961.52	4.9763e-09
1963.52	4.9525e-09
1965.53	4.9738e-09
1967.53	4.9079e-09
1969.53	4.9017e-09
1971.53	4.8992e-09
1973.53	4.9192e-09
1975.53	4.8718e-09
1977.53	4.8932e-09
1979.53	4.8494e-09
1981.53	4.8538e-09
1983.56	4.8376e-09
1985.56	4.8739e-09
1987.56	4.8186e-09
1989.58	4.8602e-09
1991.59	4.8299e-09
1993.61	4.8193e-09
1995.59	4.823e-09
1997.62	4.7966e-09
1999.64	4.7668e-09
2001.67	4.8078e-09
2003.67	4.8052e-09
2005.69	4.8158e-09
2007.7	4.7159e-09
2009.7	4.7181e-09
2011.72	4.7562e-09
2013.73	4.7055e-09
2015.75	4.7462e-09
2017.75	4.6736e-09
2019.75	4.7269e-09
2021.78	4.6478e-09
2023.77	4.6315e-09
2025.78	4.6618e-09
2027.8	4.6605e-09
2029.78	4.6575e-09
2031.8	4.6452e-09
2033.8	4.5998e-09
2035.8	4.6002e-09
2037.8	4.626e-09
2039.8	4.6205e-09
2041.8	4.6134e-09
2043.8	4.6288e-09
2045.8	4.565e-09
2047.8	4.5683e-09
2049.8	4.4931e-09
2051.8	4.5207e-09
2053.81	4.4945e-09
2055.83	4.5591e-09
2057.86	4.5453e-09
2059.88	4.5437e-09
2061.91	4.5607e-09
2063.88	4.5103e-09
2065.91	4.533e-09
2067.91	4.4829e-09
2069.91	4.469e-09
2071.88	4.4944e-09
